pair	gene_name_a	gene_name_b	contact_probability	pDockQ	PPV_from_pDockQ	model_confidence	iPAE	CCC	orf_name_a	orf_name_b	MAPPIT_result	GPCA_result	novel	no_previous_structure
YLR313C_YOL069W	SPH1	NUF2	0.25783077	0.038	0.63555449	0.16958569259944697	30.040562	0	YLR313C	YOL069W	False	False	True	True
YGR074W_YLR275W	SMD1	SMD2	0.99996734	0.5	0.90043139	0.8122714989820686	2.3601367	57	YGR074W	YLR275W	False	False	False	False
YDL188C_YJR128W	PPH22	YJR128W	0.4577362	0.052	0.63555449	0.36879505367457127	14.697031	0	YDL188C	YJR128W	True	False	True	True
YDR132C_YFL009W	YDR132C	CDC4	0.57608306	0.03	0.63555449	0.2606119703640524	17.482077	0	YDR132C	YFL009W	False	False	True	True
YBR280C_YNL141W	SAF1	AAH1	0.79735637	0.284	0.80223507	0.669932859356172	15.937104	0	YBR280C	YNL141W	True	False	False	True
YHR051W_YMR153W	COX6	NUP53	0.8398001	0.123	0.70615739	0.3696402476497256	26.986702	0	YHR051W	YMR153W	False	False	True	True
YJL048C_YML031W	UBX6	NDC1	0.6490162	0.128	0.70615739	0.34160297077924934	23.235285	0	YJL048C	YML031W	False	False	True	True
YFR022W_YHR097C	ROG3	YHR097C	0.76968944	0.066	0.63555449	0.3159048502658708	29.982342	0	YFR022W	YHR097C	False	False	True	True
YBL026W_YLR275W	LSM2	SMD2	0.9950458	0.418	0.87116417	0.7996283983378255	5.1308756	52	YBL026W	YLR275W	False	False	False	False
YGL017W_YPL188W	ATE1	POS5	0.3367378	0.341	0.83367787	0.24266183962645005	27.947138	0	YGL017W	YPL188W	False	False	True	True
YJL057C_YMR153W	IKS1	NUP53	0.8270483	0.053	0.63555449	0.3509760789004583	28.787909	0	YJL057C	YMR153W	False	False	True	True
YHL004W_YIL103W	MRP4	DPH1	0.19309264	0.0	0.0	0.31617593124327104	27.098658	0	YHL004W	YIL103W	False	False	True	True
YNR010W_YOL139C	CSE2	CDC33	0.82419944	0.122	0.70615739	0.42050962174909223	25.228611	0	YNR010W	YOL139C	True	False	True	True
YFR049W_YOR047C	YMR31	STD1	0.6584811	0.199	0.75941223	0.3018415953047343	23.500189	0	YFR049W	YOR047C	False	False	True	True
YBR255C-A_YNL100W	RCF3	MIC27	0.71917105	0.046	0.63555449	0.1763579271194523	18.516201	0	YBR255C-A	YNL100W	False	False	True	True
YMR032W_YOR181W	HOF1	LAS17	0.37773228	0.028	0.55890174	0.2681168853785335	30.465084	0	YMR032W	YOR181W	False	False	False	True
YDR071C_YGR205W	PAA1	TDA10	0.2087536	0.221	0.77766077	0.28862657746241527	26.301485	0	YDR071C	YGR205W	False	False	False	True
YCL017C_YHL006C	NFS1	SHU1	0.25654316	0.098	0.66728511	0.2954120079487813	24.105091	0	YCL017C	YHL006C	False	False	True	True
YDL044C_YKR027W	MTF2	BCH2	0.73937696	0.324	0.82238224	0.5437233434673946	19.490654	0	YDL044C	YKR027W	False	False	True	True
YIL052C_YPL204W	RPL34B	HRR25	0.22180244	0.032	0.63555449	0.21720498211301634	25.347775	0	YIL052C	YPL204W	False	False	True	True
YHR161C_YNL020C	YAP1801	ARK1	0.9142896	0.261	0.78549007	0.3703045609599529	27.405785	0	YHR161C	YNL020C	False	False	False	True
YCL033C_YIL008W	MXR2	URM1	0.9821921	0.267	0.78549007	0.6979594374502749	4.293647	26	YCL033C	YIL008W	True	False	True	True
YDL088C_YFR002W	ASM4	NIC96	0.9978268	0.211	0.75941223	0.6034846475082656	29.005999	45	YDL088C	YFR002W	True	False	False	True
YDL044C_YLR347C	MTF2	KAP95	0.61973083	0.34	0.83367787	0.35129691486899894	27.885311	0	YDL044C	YLR347C	False	False	True	True
YHL004W_YMR232W	MRP4	FUS2	0.59328234	0.053	0.63555449	0.21337096493638874	28.315815	0	YHL004W	YMR232W	False	False	True	True
YKL138C-A_YNL086W	HSK3	SNN1	0.9574661	0.177	0.74006263	0.36366841811300865	15.039312	0	YKL138C-A	YNL086W	False	False	False	True
YBR088C_YER131W	POL30	RPS26B	0.45014825	0.033	0.63555449	0.21327839918310637	26.76669	0	YBR088C	YER131W	False	False	True	True
YAR007C_YER173W	RFA1	RAD24	0.9235816	0.227	0.77766077	0.4813392718442787	27.338392	18	YAR007C	YER173W	False	False	False	True
YER094C_YPL173W	PUP3	MRPL40	0.57252544	0.151	0.71391784	0.2736988316119381	22.680885	0	YER094C	YPL173W	False	False	True	True
YHR109W_YKL029C	CTM1	MAE1	0.9193518	0.255	0.78549007	0.632245798051656	18.987753	5	YHR109W	YKL029C	False	False	True	True
YIL043C_YML088W	CBR1	UFO1	0.57294345	0.185	0.74006263	0.4442090994908738	18.658888	0	YIL043C	YML088W	False	False	True	True
YDL226C_YHL043W	GCS1	ECM34	0.38542894	0.076	0.66728511	0.19737124097940412	22.361858	0	YDL226C	YHL043W	False	False	True	True
YKL095W_YMR213W	YJU2	CEF1	0.9673962	0.064	0.63555449	0.46496131666555146	12.7568865	6	YKL095W	YMR213W	False	False	False	False
YKR027W_YMR310C	BCH2	YMR310C	0.34729075	0.204	0.75941223	0.3150334681938034	24.726633	0	YKR027W	YMR310C	False	False	True	True
YLR356W_YPL135W	ATG33	ISU1	0.4801129	0.048	0.63555449	0.21149531979270042	22.102842	0	YLR356W	YPL135W	False	False	True	True
YBL049W_YOR275C	MOH1	RIM20	0.8103802	0.13	0.70615739	0.29057809154421776	21.89827	0	YBL049W	YOR275C	False	False	True	True
YBR088C_YMR137C	POL30	PSO2	0.9870305	0.298	0.81190228	0.8079080208325974	4.323118	48	YBR088C	YMR137C	False	True	True	True
YMR213W_YPL151C	CEF1	PRP46	0.65336055	0.132	0.70615739	0.4082545037477038	28.159462	0	YMR213W	YPL151C	False	False	False	True
YAL055W_YGR133W	PEX22	PEX4	0.9996731	0.531	0.90952562	0.831292399768051	1.4281931	45	YAL055W	YGR133W	True	True	False	False
YGL161C_YNL204C	YIP5	SPS18	0.90504575	0.123	0.70615739	0.4517993568872578	20.684958	0	YGL161C	YNL204C	False	False	True	True
YER127W_YNL086W	LCP5	SNN1	0.97466505	0.188	0.74006263	0.4512473611498074	17.614109	10	YER127W	YNL086W	False	False	True	True
YGL070C_YHR184W	RPB9	SSP1	0.33803713	0.044	0.63555449	0.2941808129467683	24.274273	0	YGL070C	YHR184W	False	False	True	True
YDR240C_YNL189W	SNU56	SRP1	0.44898933	0.095	0.66728511	0.24383030562368108	29.399048	0	YDR240C	YNL189W	True	False	True	True
YGR198W_YKL204W	YPP1	EAP1	0.5811932	0.223	0.77766077	0.4071458787396364	24.905228	0	YGR198W	YKL204W	False	False	True	True
YKR057W_YNL214W	RPS21A	PEX17	0.57137454	0.028	0.55890174	0.17061548828892342	23.363293	0	YKR057W	YNL214W	False	False	True	True
YNL086W_YPL070W	SNN1	MUK1	0.64360654	0.073	0.66728511	0.32570482514008775	22.49185	0	YNL086W	YPL070W	False	False	True	True
YBR168W_YHR150W	PEX32	PEX28	0.9937852	0.675	0.98128027	0.7671104213794937	5.416744	179	YBR168W	YHR150W	False	False	False	True
YLR275W_YOR159C	SMD2	SME1	0.9954954	0.429	0.87822061	0.808864973791526	2.5635548	52	YLR275W	YOR159C	False	False	False	True
YBR068C_YPR170W-B	BAP2	YPR170W-B	0.39553884	0.097	0.66728511	0.3594510018975613	22.286705	0	YBR068C	YPR170W-B	False	False	True	True
YER009W_YOR158W	NTF2	PET123	0.20342362	0.043	0.63555449	0.18617860971371858	26.98617	0	YER009W	YOR158W	False	False	True	True
YGR108W_YKL049C	CLB1	CSE4	0.6374404	0.045	0.63555449	0.344351692907106	17.3904	0	YGR108W	YKL049C	False	False	True	True
YBR141C_YLR061W	BMT2	RPL22A	0.701596	0.127	0.70615739	0.34347954290287885	14.54994	0	YBR141C	YLR061W	False	False	True	True
YFR035C_YPR174C	YFR035C	YPR174C	0.5897434	0.025	0.55890174	0.18006821434559167	23.142614	0	YFR035C	YPR174C	False	False	True	True
YDL097C_YLR313C	RPN6	SPH1	0.35463864	0.128	0.70615739	0.250541277579704	23.415926	0	YDL097C	YLR313C	False	False	True	True
YNL044W_YOR097C	YIP3	YOR097C	0.6047704	0.051	0.63555449	0.2312992950594926	18.611588	0	YNL044W	YOR097C	False	False	True	True
YPL068C_YPL128C	YPL068C	TBF1	0.9996881	0.49	0.8919553	0.6467360752406062	10.566782	121	YPL068C	YPL128C	False	True	True	True
YIL148W_YKR021W	RPL40A	ALY1	0.2285612	0.074	0.66728511	0.30135211471731127	24.99948	0	YIL148W	YKR021W	False	False	True	True
YAR007C_YNL312W	RFA1	RFA2	0.99611866	0.427	0.87822061	0.5506653537825847	6.233785	60	YAR007C	YNL312W	False	False	False	False
YDL044C_YGR048W	MTF2	UFD1	0.44809857	0.072	0.66728511	0.19886049816615714	26.072006	0	YDL044C	YGR048W	False	False	True	True
YCR086W_YOL036W	CSM1	YOL036W	0.9464784	0.286	0.80223507	0.5197285632567322	13.891631	2	YCR086W	YOL036W	False	False	False	True
YDR006C_YGL215W	SOK1	CLG1	0.9126519	0.095	0.66728511	0.4491331079157241	27.61566	3	YDR006C	YGL215W	False	False	True	True
YFR027W_YLR291C	ECO1	GCD7	0.87582594	0.155	0.73044282	0.6255025694986902	13.1003895	0	YFR027W	YLR291C	False	False	True	True
YBR270C_YIL103W	BIT2	DPH1	0.69816065	0.123	0.70615739	0.39567029972109197	24.551071	0	YBR270C	YIL103W	False	False	True	True
YDR422C_YDR516C	SIP1	EMI2	0.96793437	0.339	0.83367787	0.7544840624082546	28.06725	28	YDR422C	YDR516C	False	False	False	True
YNL086W_YPR083W	SNN1	MDM36	0.8461646	0.188	0.74006263	0.43927480270613134	15.319576	0	YNL086W	YPR083W	False	False	True	True
YDL160C-A_YOL086W-A	MHF2	MHF1	0.99998724	0.698	0.98128027	0.9099009474129213	2.093626	133	YDL160C-A	YOL086W-A	True	True	False	False
YBR227C_YHR033W	MCX1	YHR033W	0.27217686	0.158	0.73044282	0.23999179401043605	28.37256	0	YBR227C	YHR033W	False	False	True	True
YGR235C_YML051W	MIC26	GAL80	0.7056086	0.102	0.68635536	0.3641001981869542	21.46019	0	YGR235C	YML051W	False	False	True	True
YER083C_YHR213W-B	GET2	YHR213W-B	0.8084222	0.057	0.63555449	0.2673350388767093	20.011864	0	YER083C	YHR213W-B	False	False	True	True
YMR214W_YNL086W	SCJ1	SNN1	0.5311255	0.049	0.63555449	0.2591278051980691	15.436144	0	YMR214W	YNL086W	False	False	True	True
YDR200C_YMR052W	VPS64	FAR3	0.9762001	0.258	0.78549007	0.3620516851261137	15.68231	44	YDR200C	YMR052W	True	False	False	True
YCR020W-B_YFR004W	HTL1	RPN11	0.3361634	0.045	0.63555449	0.22085337826757429	24.466835	0	YCR020W-B	YFR004W	False	False	True	True
YNL073W_YOR368W	MSK1	RAD17	0.3558363	0.165	0.73044282	0.28096441869392536	24.006649	0	YNL073W	YOR368W	False	False	True	True
YCL055W_YNL196C	KAR4	SLZ1	0.5058764	0.065	0.63555449	0.26349961239371156	21.977688	0	YCL055W	YNL196C	False	False	False	True
YBR249C_YGR168C	ARO4	YGR168C	0.50437903	0.055	0.63555449	0.2569348819998682	14.944884	0	YBR249C	YGR168C	False	False	True	True
YIL097W_YOR117W	FYV10	RPT5	0.7549081	0.199	0.75941223	0.38805224782131503	12.009526	0	YIL097W	YOR117W	True	False	True	True
YER112W_YLR275W	LSM4	SMD2	0.9997405	0.488	0.8919553	0.8262933115975506	1.914819	52	YER112W	YLR275W	False	False	False	False
YGR142W_YJR128W	BTN2	YJR128W	0.47259256	0.034	0.63555449	0.2807448796983241	17.517065	0	YGR142W	YJR128W	False	False	True	True
YPL031C_YPL219W	PHO85	PCL8	0.9998727	0.607	0.9400192	0.8733940851267725	4.6635456	100	YPL031C	YPL219W	False	False	False	False
YLR254C_YOR269W	NDL1	PAC1	0.97090906	0.249	0.78549007	0.6437127381609816	7.3394914	32	YLR254C	YOR269W	True	True	False	True
YBR182C_YKR027W	SMP1	BCH2	0.69707185	0.137	0.70615739	0.4559339013910809	26.28889	0	YBR182C	YKR027W	False	False	True	True
YHR033W_YPL018W	YHR033W	CTF19	0.0730917	0.019	0.55890174	0.20598825282219135	27.506807	0	YHR033W	YPL018W	False	False	True	True
YGL090W_YLR183C	LIF1	TOS4	0.39448464	0.036	0.63555449	0.1898866554318135	23.970583	0	YGL090W	YLR183C	False	False	True	True
YDR067C_YML064C	OCA6	TEM1	0.3305639	0.113	0.68635536	0.23938267804112942	23.168865	0	YDR067C	YML064C	False	False	True	True
YLR405W_YPL108W	DUS4	YPL108W	0.99979794	0.69	0.98128027	0.8641275490940883	3.6324332	146	YLR405W	YPL108W	True	False	False	False
YGL209W_YLR212C	MIG2	TUB4	0.5503493	0.107	0.68635536	0.3036121066345677	25.336798	0	YGL209W	YLR212C	False	False	True	True
YJL163C_YLL014W	YJL163C	EMC6	0.3468957	0.07	0.66728511	0.34698462013405307	21.989408	0	YJL163C	YLL014W	False	False	True	True
YGL215W_YPL031C	CLG1	PHO85	0.9998092	0.579	0.92420274	0.8606159025981028	2.2717147	86	YGL215W	YPL031C	False	False	False	True
YDR184C_YDR439W	ATC1	LRS4	0.9868423	0.331	0.83367787	0.320167904428717	12.164511	68	YDR184C	YDR439W	False	False	True	True
YMR018W_YNL165W	PEX9	YNL165W	0.95072734	0.128	0.70615739	0.5090778676215402	17.214886	11	YMR018W	YNL165W	False	False	True	True
YGR057C_YML064C	LST7	TEM1	0.59965193	0.261	0.78549007	0.38304655217391675	19.840717	0	YGR057C	YML064C	False	False	True	True
YML064C_YPR174C	TEM1	YPR174C	0.8369872	0.088	0.66728511	0.31795876305579707	13.394396	0	YML064C	YPR174C	False	False	True	True
YLR254C_YNL189W	NDL1	SRP1	0.6703215	0.036	0.63555449	0.3642009316490905	20.109598	0	YLR254C	YNL189W	False	False	True	True
YEL009C-A_YGR183C	YEL009C-A	QCR9	0.41295868	0.026	0.55890174	0.17931393937695622	24.02261	0	YEL009C-A	YGR183C	False	False	True	True
YGR020C_YHR060W	VMA7	VMA22	0.9999076	0.668	0.98128027	0.8967228009494681	2.6708162	133	YGR020C	YHR060W	True	True	True	True
YJR010C-A_YJR126C	SPC1	VPS70	0.6845343	0.046	0.63555449	0.47487121219123307	21.126663	0	YJR010C-A	YJR126C	False	False	True	True
YDL226C_YPR113W	GCS1	PIS1	0.6281212	0.079	0.66728511	0.37767992999803734	27.326614	0	YDL226C	YPR113W	False	False	True	True
YDL132W_YDR328C	CDC53	SKP1	0.9804108	0.19	0.74006263	0.7528630389463936	4.4826174	43	YDL132W	YDR328C	True	True	False	True
YDL098C_YGL016W	SNU23	KAP122	0.3908441	0.191	0.74006263	0.37793194185633366	27.496544	0	YDL098C	YGL016W	False	False	True	True
YGR082W_YOR158W	TOM20	PET123	0.7288437	0.096	0.66728511	0.30056033998649556	23.514381	0	YGR082W	YOR158W	False	False	True	True
YCL051W_YDR523C	LRE1	SPS1	0.7589687	0.084	0.66728511	0.3591431794363343	24.729813	0	YCL051W	YDR523C	False	False	True	True
YDR295C_YOR117W	HDA2	RPT5	0.8207003	0.114	0.68635536	0.24926714030307506	12.617511	0	YDR295C	YOR117W	False	False	False	True
YAL039C_YDR175C	CYC3	RSM24	0.38894176	0.205	0.75941223	0.1854267819942415	24.267159	0	YAL039C	YDR175C	False	False	True	True
YGR129W_YMR213W	SYF2	CEF1	0.93181807	0.135	0.70615739	0.43576430646057934	21.704262	16	YGR129W	YMR213W	False	False	False	False
YGR048W_YMR233W	UFD1	TRI1	0.646009	0.095	0.66728511	0.24559072864186443	23.07808	0	YGR048W	YMR233W	False	False	True	True
YIL062C_YNR035C	ARC15	ARC35	0.48037755	0.104	0.68635536	0.2890755858998283	23.263365	0	YIL062C	YNR035C	False	False	False	True
YEL015W_YGL209W	EDC3	MIG2	0.4812095	0.065	0.63555449	0.24627573241861717	22.680664	0	YEL015W	YGL209W	False	False	True	True
YGL209W_YKR083C	MIG2	DAD2	0.6060308	0.024	0.55890174	0.18944875785655219	22.436699	0	YGL209W	YKR083C	False	False	True	True
YIR011C_YLR291C	STS1	GCD7	0.59750223	0.093	0.66728511	0.22781243427594008	22.504265	0	YIR011C	YLR291C	False	False	True	True
YDR288W_YLR007W	NSE3	NSE1	0.99922186	0.626	0.9400192	0.8686753007234038	3.9455462	128	YDR288W	YLR007W	False	False	False	False
YDL089W_YNR039C	NUR1	ZRG17	0.7626415	0.078	0.66728511	0.3229663670658067	28.603691	0	YDL089W	YNR039C	False	True	True	True
YBR182C_YLR368W	SMP1	MDM30	0.7316989	0.199	0.75941223	0.37647108191993384	27.990824	0	YBR182C	YLR368W	False	False	True	True
YBR217W_YLL042C	ATG12	ATG10	0.36187238	0.155	0.73044282	0.2075321099864666	21.819433	0	YBR217W	YLL042C	False	False	False	True
YHR008C_YMR239C	SOD2	RNT1	0.15606911	0.018	0.55890174	0.1973693885723461	27.842068	0	YHR008C	YMR239C	False	False	True	True
YBR167C_YER094C	POP7	PUP3	0.86822844	0.146	0.71391784	0.44858442376095836	15.388705	0	YBR167C	YER094C	False	False	True	True
YLR315W_YPL002C	NKP2	SNF8	0.40257174	0.03	0.63555449	0.2057206924921335	24.68074	0	YLR315W	YPL002C	False	False	True	True
YDL134C_YMR028W	PPH21	TAP42	0.9889841	0.435	0.87822061	0.6912909387268197	15.686687	42	YDL134C	YMR028W	True	True	False	True
YDR201W_YKL138C-A	SPC19	HSK3	0.9774418	0.198	0.75941223	0.4403693394611751	10.024087	0	YDR201W	YKL138C-A	False	False	False	True
YKR019C_YPL070W	IRS4	MUK1	0.9828546	0.084	0.66728511	0.48730287831259655	29.189426	39	YKR019C	YPL070W	False	False	True	True
YDR184C_YML051W	ATC1	GAL80	0.54706514	0.084	0.66728511	0.35514059039417034	23.167326	0	YDR184C	YML051W	False	False	True	True
YDL113C_YLL004W	ATG20	ORC3	0.9738759	0.065	0.63555449	0.6054074255893789	4.916547	19	YDL113C	YLL004W	True	False	True	True
YLR385C_YML064C	SWC7	TEM1	0.6655073	0.077	0.66728511	0.28632877772926524	18.726006	0	YLR385C	YML064C	False	False	True	True
YDR252W_YJR011C	BTT1	YJR011C	0.56446135	0.081	0.66728511	0.2651192215456132	24.009476	0	YDR252W	YJR011C	False	False	False	True
YML088W_YOL086C	UFO1	ADH1	0.14998993	0.372	0.85453785	0.28631390839068765	26.400433	0	YML088W	YOL086C	False	False	True	True
YJR044C_YOL129W	VPS55	VPS68	0.8775569	0.083	0.66728511	0.38200536302413846	16.208485	0	YJR044C	YOL129W	False	True	False	False
YBL025W_YMR270C	RRN10	RRN9	0.9999238	0.731	0.98128027	0.8029882527946702	2.354093	314	YBL025W	YMR270C	True	False	False	False
YGL209W_YLR048W	MIG2	RPS0B	0.39922655	0.033	0.63555449	0.24082439006519274	26.936787	0	YGL209W	YLR048W	False	False	True	True
YGR128C_YNL086W	UTP8	SNN1	0.8967234	0.037	0.63555449	0.4884156967455673	13.487838	0	YGR128C	YNL086W	False	False	True	True
YGR003W_YOR385W	CUL3	YOR385W	0.94632983	0.101	0.68635536	0.7088438527972565	4.1811247	15	YGR003W	YOR385W	False	False	True	True
YJR065C_YNR035C	ARP3	ARC35	0.99949753	0.574	0.92420274	0.8500785059310597	2.8053956	99	YJR065C	YNR035C	False	True	False	False
YLR368W_YMR017W	MDM30	SPO20	0.5909538	0.06	0.63555449	0.3363062589689442	26.554941	0	YLR368W	YMR017W	False	False	True	True
YER083C_YHR057C	GET2	CPR2	0.58295125	0.048	0.63555449	0.22769284009302454	20.496967	0	YER083C	YHR057C	False	False	True	True
YER009W_YGR029W	NTF2	ERV1	0.16559136	0.097	0.66728511	0.19215115675542965	25.534588	0	YER009W	YGR029W	False	False	True	True
YNL116W_YNL165W	DMA2	YNL165W	0.9107752	0.239	0.77766077	0.38195533446142244	24.333378	0	YNL116W	YNL165W	False	False	True	True
YDR142C_YGR239C	PEX7	PEX21	0.9996878	0.527	0.90952562	0.8438991538249345	3.0637224	87	YDR142C	YGR239C	True	False	False	False
YLR050C_YNL125C	YLR050C	ESBP6	0.16798368	0.081	0.66728511	0.28428121920829286	24.980846	0	YLR050C	YNL125C	False	False	True	True
YBL037W_YFR043C	APL3	IRC6	0.7588309	0.088	0.66728511	0.5604342142598059	14.333113	0	YBL037W	YFR043C	True	False	True	True
YGR049W_YLR356W	SCM4	ATG33	0.5830017	0.043	0.63555449	0.21479965100551887	19.124823	0	YGR049W	YLR356W	False	False	True	True
YPL112C_YPR128C	PEX25	ANT1	0.40349966	0.128	0.70615739	0.2101108558999788	27.429247	0	YPL112C	YPR128C	False	False	True	True
YLR204W_YMR269W	QRI5	TMA23	0.33087826	0.023	0.55890174	0.12001825935148418	23.945215	0	YLR204W	YMR269W	False	False	True	True
YDR014W-A_YGR042W	HED1	MTE1	0.9940219	0.065	0.63555449	0.36006729230125567	29.474518	18	YDR014W-A	YGR042W	False	False	True	True
YCL059C_YML093W	KRR1	UTP14	0.7224578	0.061	0.63555449	0.3115708644481053	29.9338	0	YCL059C	YML093W	False	False	False	True
YIL127C_YML051W	RRT14	GAL80	0.985285	0.358	0.84294946	0.791734591944784	19.488773	33	YIL127C	YML051W	False	False	True	True
YDL087C_YLR291C	LUC7	GCD7	0.4086346	0.109	0.68635536	0.25898422331054644	22.650236	0	YDL087C	YLR291C	False	False	True	True
YGR048W_YGR249W	UFD1	MGA1	0.5821338	0.053	0.63555449	0.25605226318056956	29.346172	0	YGR048W	YGR249W	False	False	True	True
YBR060C_YDL111C	ORC2	RRP42	0.4548976	0.051	0.63555449	0.26178568160209414	25.758732	0	YBR060C	YDL111C	False	False	True	True
YCR095W-A_YDL226C	YCR095W-A	GCS1	0.55230576	0.039	0.63555449	0.2922355022445271	18.495628	0	YCR095W-A	YDL226C	False	False	True	True
YIL009C-A_YPL024W	EST3	RMI1	0.2656511	0.175	0.73044282	0.25064595621112573	25.465912	0	YIL009C-A	YPL024W	False	False	True	True
YDR201W_YLR313C	SPC19	SPH1	0.6695311	0.091	0.66728511	0.28623523609353807	22.566635	0	YDR201W	YLR313C	True	True	True	True
YMR276W_YNL328C	DSK2	MDJ2	0.36045533	0.07	0.66728511	0.16285654831161744	23.177189	0	YMR276W	YNL328C	False	False	True	True
YNL214W_YPL112C	PEX17	PEX25	0.827874	0.272	0.80223507	0.44953315322657994	18.349766	0	YNL214W	YPL112C	False	False	True	True
YCR086W_YDR088C	CSM1	SLU7	0.341851	0.043	0.63555449	0.19616205497583344	26.382917	0	YCR086W	YDR088C	False	False	True	True
YJR046W_YNL086W	TAH11	SNN1	0.47305682	0.028	0.55890174	0.30435933507706014	23.466759	0	YJR046W	YNL086W	False	False	True	True
YGR158C_YLR345W	MTR3	YLR345W	0.8133885	0.282	0.80223507	0.623405393532044	13.273161	0	YGR158C	YLR345W	True	True	False	True
YBR255C-A_YGR168C	RCF3	YGR168C	0.29941717	0.026	0.55890174	0.1887984023369576	25.316086	0	YBR255C-A	YGR168C	False	False	True	True
YBR237W_YGR013W	PRP5	SNU71	0.9497055	0.135	0.70615739	0.4501998412027029	29.423836	16	YBR237W	YGR013W	False	False	False	True
YGR168C_YJL185C	YGR168C	ATG36	0.35016656	0.035	0.63555449	0.191204066520064	26.940155	0	YGR168C	YJL185C	False	False	True	True
YMR077C_YOR275C	VPS20	RIM20	0.19690135	0.119	0.68635536	0.22516667981288774	27.890493	0	YMR077C	YOR275C	False	False	True	True
YDL044C_YER094C	MTF2	PUP3	0.6822822	0.099	0.66728511	0.2970394972577154	22.901749	0	YDL044C	YER094C	False	False	True	True
YBR126W-A_YPR174C	MEO1	YPR174C	0.48721898	0.023	0.55890174	0.1472337250880022	21.876991	0	YBR126W-A	YPR174C	False	False	True	True
YDL013W_YMR111C	SLX5	YMR111C	0.98242474	0.449	0.88570037	0.4318827256235824	19.557957	63	YDL013W	YMR111C	False	False	False	True
YDR071C_YER089C	PAA1	PTC2	0.99988484	0.608	0.9400192	0.9010906862778522	2.2277222	66	YDR071C	YER089C	True	False	False	False
YKL053C-A_YLR288C	MDM35	MEC3	0.9790313	0.194	0.74006263	0.7218807000348864	5.7863436	27	YKL053C-A	YLR288C	True	False	True	True
YBR058C-A_YGR038W	TSC3	ORM1	0.6470933	0.083	0.66728511	0.29760296286938454	17.76882	0	YBR058C-A	YGR038W	False	True	False	True
YLR291C_YPL055C	GCD7	LGE1	0.29387844	0.089	0.66728511	0.22250017810368228	28.159348	0	YLR291C	YPL055C	False	False	True	True
YLR148W_YMR231W	PEP3	PEP5	0.9882161	0.608	0.9400192	0.6000235522543438	9.948309	92	YLR148W	YMR231W	False	False	False	True
YGR113W_YOR158W	DAM1	PET123	0.90421593	0.212	0.75941223	0.4068215959744037	14.320538	2	YGR113W	YOR158W	False	False	True	True
YGL194C-A_YNR039C	YGL194C-A	ZRG17	0.28535077	0.052	0.63555449	0.2746199376007605	23.892214	0	YGL194C-A	YNR039C	False	False	True	True
YDR228C_YMR213W	PCF11	CEF1	0.3024807	0.069	0.63555449	0.1903549774410283	30.601086	0	YDR228C	YMR213W	False	False	True	True
YDL013W_YOR285W	SLX5	RDL1	0.8097652	0.047	0.63555449	0.2396784784327744	11.380598	0	YDL013W	YOR285W	False	False	True	True
YEL026W_YLR197W	SNU13	NOP56	0.98848015	0.362	0.84294946	0.8619791378436045	3.3200617	40	YEL026W	YLR197W	False	False	False	False
YHR008C_YNL189W	SOD2	SRP1	0.51553917	0.339	0.83367787	0.3132850507827156	24.671955	0	YHR008C	YNL189W	False	False	True	True
YER079W_YNL154C	YER079W	YCK2	0.8471526	0.25	0.78549007	0.3261003338339337	23.118265	0	YER079W	YNL154C	False	False	True	True
YGL019W_YOR158W	CKB1	PET123	0.83289295	0.125	0.70615739	0.4835551493403062	10.173346	0	YGL019W	YOR158W	False	False	True	True
YER083C_YPR010C-A	GET2	YPR010C-A	0.8337378	0.051	0.63555449	0.2950157630282251	11.094775	0	YER083C	YPR010C-A	False	False	True	True
YOL044W_YPL192C	PEX15	PRM3	0.68682677	0.037	0.63555449	0.19938883447557343	18.958553	0	YOL044W	YPL192C	False	False	True	True
YER146W_YLR438C-A	LSM5	LSM3	0.99975187	0.524	0.90952562	0.8485597708793716	2.7168384	60	YER146W	YLR438C-A	False	False	False	False
YGR158C_YNL232W	MTR3	CSL4	0.996882	0.389	0.86040801	0.7281044930883165	8.942497	40	YGR158C	YNL232W	False	False	False	False
YLR116W_YML046W	MSL5	PRP39	0.89692146	0.166	0.73044282	0.5166383890616291	22.88258	2	YLR116W	YML046W	False	False	False	True
YER007W_YLR438C-A	PAC2	LSM3	0.56824106	0.039	0.63555449	0.4021294896894174	18.198952	0	YER007W	YLR438C-A	True	False	True	True
YLR356W_YML130C	ATG33	ERO1	0.36932918	0.019	0.55890174	0.2449765531175238	25.500048	0	YLR356W	YML130C	False	False	True	True
YIL127C_YKR092C	RRT14	SRP40	0.46293908	0.039	0.63555449	0.15786649903664382	24.242607	0	YIL127C	YKR092C	False	False	True	True
YCR009C_YMR312W	RVS161	ELP6	0.17591946	0.204	0.75941223	0.21054273911706417	26.396633	0	YCR009C	YMR312W	False	False	True	True
YCL057C-A_YNL100W	MIC10	MIC27	0.46938455	0.023	0.55890174	0.1903611330274821	22.558731	0	YCL057C-A	YNL100W	False	True	False	True
YML051W_YOR232W	GAL80	MGE1	0.47408876	0.049	0.63555449	0.26960211471087253	21.619987	0	YML051W	YOR232W	False	False	True	True
YER068W_YGL044C	MOT2	RNA15	0.441567	0.129	0.70615739	0.18520100684369778	28.889656	0	YER068W	YGL044C	True	False	True	True
