OrthoDB_ID	Yeast_ORF	Gene_Name	Description
1104126at2759	YOL123W	HRP1	NAB5|NAB4 chromosome 15 L000003337|L0000 15 87844 89448 W  2006-01-05 1996-07-31 Subunit of cleavage factor I; cleavage factor I is a five-subunit complex required for the cleavage and polyadenylation of pre-mRNA 3' ends; RRM-containing heteronuclear RNA binding protein and hnRNPA/B family member that binds to poly (A) signal sequences; required for genome stability
1104596at2759	YLR027C	AAT2	aspartate transaminase AAT2|ASP5 chromosome 12 L000000131|L0000 12 198085 196829 C 17.0 2011-02-03 2003-09-22|1996-07-31 Cytosolic aspartate aminotransferase involved in nitrogen metabolism; localizes to peroxisomes in oleate-grown cells
1104599at2759	YMR067C	UBX4	CUI1 chromosome 13  13 405573 404323 C  2011-02-03 1996-07-31 UBX domain-containing protein that interacts with Cdc48p; involved in degradation of polyubiquitinated proteins via the ERAD (ER-associated degradation) pathway; modulates the Cdc48p-Nplp-Ufd1p AAA ATPase complex during its role in delivery of misfolded proteins to the proteasome; protein abundance increases in response to DNA replication stress
1104619at2759	YOL021C	DIS3	exosome catalytic subunit DIS3|MTR17|RRP44 chromosome 15 L000003486 15 285426 282421 C  2011-02-03 1996-07-31 Exosome core complex catalytic subunit; has both endonuclease and 3'-5' exonuclease activity; involved in 3'-5' RNA processing and degradation in both the nucleus and the cytoplasm; role in degradation of tRNAs; similar to E. coli RNase R and to human DIS3, which partially complements dis3-81 heat sensitivity; mutations in Dis3p analogous to human mutations implicated in multiple myeloma impair exosome function; protein abundance increases under to DNA replication stress
1104835at2759	YKL004W	AUR1	inositol phosphorylceramide synthase chromosome 11 L000002767 11 435580 436785 W  2011-02-03 1996-07-31 Phosphatidylinositol:ceramide phosphoinositol transferase; required for sphingolipid synthesis; can mutate to confer aureobasidin A resistance; also known as IPC synthase
1105725at2759	YNL202W	SPS19	SPX19 chromosome 14 L000002043 14 259578 260456 W  2011-02-03 1996-07-31|2006-05-10 Peroxisomal 2,4-dienoyl-CoA reductase; auxiliary enzyme of fatty acid beta-oxidation; homodimeric enzyme required for growth and sporulation on petroselineate medium; expression induced during late sporulation and in the presence of oleate
1106167at2759	YPL029W	SUV3	ATP-dependent RNA helicase SUV3|LPB2 chromosome 16 L000002247 16 495506 497719 W  2011-02-03 1996-07-31 ATP-dependent RNA helicase; component of the mitochondrial degradosome along with the RNase Dss1p; the degradosome associates with the ribosome and mediates RNA turnover; also required during splicing of the COX1 AI5_beta intron; expression of a processed form of human homolog SUPV3L1 carrying an N-terminal deletion of 46 amino acids rescues yeast suv3 null mutant
1106300at2759	YDR233C	RTN1	 chromosome 4  4 930357 929470 C  2011-02-03 1996-07-31 Reticulon protein; involved in nuclear pore assembly and maintenance of tubular ER morphology; promotes membrane curvature; regulates the ER asymmetry-induced inheritance block during ER stress; role in ER-derived peroxisomal biogenesis; increases tubular ER when overexpressed; mutants have reduced phosphatidylserine transfer between the ER and mitochondria; interacts with exocyst subunit Sec6p, Yip3p, and Sbh1p; member of the RTNLA subfamily
1106507at2759	YOR266W	PNT1	 chromosome 15 L000001460 15 821023 822294 W  2011-02-03 1996-07-31 Mitochondrial integral inner membrane protein; involved in membrane insertion of C-terminus of Cox2p, interacts genetically and physically with Cox18p; deletion mutant sensitive to the anti-Pneumocystis carinii drug pentamidine
1106766at2759	YBR170C	NPL4	HRD4 chromosome 2 L000001271 2 578086 576344 C  2011-02-03 1997-01-28 Substrate-recruiting cofactor of the Cdc48p-Npl4p-Ufd1p segregase; assists Cdc48p in the dislocation of misfolded, polyubiquitinated ERAD substrates that are subsequently delivered to the proteasome for degradation; also involved in the regulated destruction of resident ER membrane proteins, such as HMG-CoA reductase (Hmg1/2p) and cytoplasmic proteins (Fbp1p); role in mobilizing membrane bound transcription factors by regulated ubiquitin/proteasome-dependent processing (RUP)
1106865at2759	YJL073W	JEM1	KAR8 chromosome 10 L000003533 10 303181 305118 W  2011-02-03 1997-10-20|1996-07-31 DnaJ-like chaperone required for nuclear membrane fusion during mating; localizes to the ER membrane; exhibits genetic interactions with KAR2
1107565at2759	YFL027C	GYP8	 chromosome 6  6 81912 80419 C  2011-02-03 1996-07-31 GTPase-activating protein for yeast Rab family members; Ypt1p is the preferred in vitro substrate but also acts on Sec4p, Ypt31p and Ypt32p; involved in the regulation of ER to Golgi vesicle transport
1107630at2759	YPL227C	ALG5	dolichyl-phosphate beta-glucosyltransferase chromosome 16 L000000077 16 121167 120163 C  1996-07-31 1996-07-31 UDP-glucose:dolichyl-phosphate glucosyltransferase; involved in asparagine-linked glycosylation in the endoplasmic reticulum; human ortholog ALG5 can partially complement yeast alg5 mutant
1108259at2759	YNL315C	ATP11	 chromosome 14 L000000148 14 44280 43324 C  2011-02-03 1996-07-31 Molecular chaperone; required for the assembly of alpha and beta subunits into the F1 sector of mitochondrial F1F0 ATP synthase; N-terminally propionylated in vivo
1108443at2759	YPL128C	TBF1	LPI16 chromosome 16 L000002264 16 308221 306533 C -81.5 2011-02-03 1996-07-31 Telobox-containing general regulatory factor; binds TTAGGG repeats within subtelomeric anti-silencing regions (STARs), blocking silent chromatin propagation; binds majority of snoRNA gene promoters, required for full snoRNA expression; caps DSB flanked by long T2AG3 repeats and blocks checkpoint activation
1108990at2759	YDR353W	TRR1	thioredoxin-disulfide reductase TRR1 chromosome 4 L000003953 4 1183299 1184258 W  2011-02-03 1996-07-31 Cytoplasmic thioredoxin reductase; key regulatory enzyme that determines the redox state of the thioredoxin system, which acts as a disulfide reductase system and protects cells against both oxidative and reductive stress; protein abundance increases in response to DNA replication stress; TRR1 has a paralog, TRR2, that arose from the whole genome duplication
1109791at2759	YEL064C	AVT2	 chromosome 5  5 31239 29797 C  1996-07-31 1996-07-31 Putative transporter; member of a family of seven S. cerevisiae genes (AVT1-7) related to vesicular GABA-glycine transporters
1109812at2759	YPR072W	NOT5	CCR4-NOT core subunit NOT5 chromosome 16 L000004651 16 690107 691789 W  2011-02-03 1996-07-31 Component of the CCR4-NOT core complex, involved in mRNA decapping; involved intranscription initiation and elongation and in mRNA degradation; conserved lysine in human homolog of Not5p and Not3p is mutated in cancers
1109965at2759	YPL161C	BEM4	ROM7 chromosome 16 L000000170 16 246220 244319 C  2011-02-03 1996-07-31 Protein involved in establishment of cell polarity and bud emergence; interacts with the Rho1p small GTP-binding protein and with the Rho-type GTPase Cdc42p; involved in maintenance of proper telomere length
1110026at2759	YCR033W	SNT1	 chromosome 3  3 186489 190169 W  2011-02-03 2000-09-13|1997-01-28 Subunit of the Set3C deacetylase complex; interacts directly with the Set3C subunit, Sif2p; putative DNA-binding protein; mutant has increased aneuploidy tolerance; relocalizes to the cytosol in response to hypoxia
1110776at2759	YKR025W	RPC37	DNA-directed RNA polymerase III subunit C37|C37 chromosome 11  11 487770 488618 W  2011-02-03 1996-07-31 RNA polymerase III subunit C37
1111142at2759	YBR123C	TFC1	transcription factor TFIIIC subunit TFC1|tau 95 chromosome 2 L000002285 2 486691 484742 C  2011-02-03 1997-01-28 Subunit of RNA polymerase III transcription initiation factor complex; one of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC); part of the TauA globular domain of TFIIIC that binds DNA at the BoxA promoter sites of tRNA and similar genes; human homolog is TFIIIC-63
1111406at2759	YDR068W	DOS2	 chromosome 4 L000000518 4 583713 584645 W  2011-02-03 1996-07-31 Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm
1111872at2759	YNL189W	SRP1	karyopherin alpha|SCM1|KAP60 chromosome 14 L000002755|L0000 14 284260 285888 W  2011-02-03 1996-07-31 Karyopherin alpha homolog; forms a dimer with karyopherin beta Kap95p to mediate import of nuclear proteins, binds the nuclear localization signal of the substrate during import; involved in cotranslational protein degradation; binds ribosome-bound nascent polypeptides; Srp1p and Sts1p couple proteasomes to nascent polypeptides emerging from the ribosome for cotranslational degradation
1112002at2759	YLR222C	UTP13	 chromosome 12  12 581771 579318 C  2011-02-03 1996-07-31 Nucleolar protein; component of the small subunit (SSU) processome containing the U3 snoRNA that is involved in processing of pre-18S rRNA
1112007at2759	YEL043W		 chromosome 5  5 70478 73348 W  1996-07-31 1996-07-31 Predicted cytoskeleton protein involved in intracellular signaling; based on quantitative analysis of protein-protein interaction maps; may interact with ribosomes, based on co-purification studies; contains fibronectin type III domain fold
1112080at2759	YHR041C	SRB2	MED20|HRS2 chromosome 8 L000002050|L0000 8 189864 189131 C  2011-02-03 1996-07-31 Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; general transcription factor involved in telomere maintenance
1112626at2759	YOR283W		phosphoglycerate mutase chromosome 15  15 847453 848145 W  2011-02-03 1996-07-31 Phosphatase with a broad substrate specificity; has some similarity to GPM1/YKL152C, a phosphoglycerate mutase; YOR283W is not an essential gene
1112709at2759	YEL017W	GTT3	 chromosome 5  5 123657 124670 W  1996-07-31 1996-07-31 Protein of unknown function may be involved in glutathione metabolism; function suggested by computational analysis of large-scale protein-protein interaction data; N- and C-terminal fusion proteins localize to the cell periphery
1112854at2759	YKL012W	PRP40	 chromosome 11 L000003078 11 418310 420061 W  2011-02-03 1996-07-31 U1 snRNP protein involved in splicing; interacts with the branchpoint-binding protein during the formation of the second commitment complex
1113415at2759	YML043C	RRN11	 chromosome 13 L000004133 13 191767 190244 C  1996-07-31 1996-07-31 Component of the core factor (CF) rDNA transcription factor complex; CF is required for transcription of 35S rRNA genes by RNA polymerase I and is composed of Rrn6p, Rrn7p, and Rrn11p
1114442at2759	YJR142W		 chromosome 10  10 697141 698169 W  2011-02-03 1996-07-31 8-oxo-dGTP diphosphatase of the Nudix hydrolase family; converts diphosphates of damaged forms of thiamin to monophosphates; GST fusion protein is a Dbf2p-Mob1p phosphorylation target in a proteome chip analysis; synthetic lethal with PH085 deletion; plays a role in restricting Ty1 transposition
1114675at2759	YDR047W	HEM12	uroporphyrinogen decarboxylase HEM12|HEM6 chromosome 4 L000000764 4 551860 552948 W  2011-02-03 1996-07-31 Uroporphyrinogen decarboxylase; catalyzes the fifth step in the heme biosynthetic pathway; localizes to both the cytoplasm and nucleus; a hem12 mutant has phenotypes similar to patients with porphyria cutanea tarda
1115054at2759	YKL082C	RRP14	ribosome biosynthesis protein RRP14 chromosome 11  11 282329 281025 C  2011-02-03 1996-07-31 Essential protein, constituent of 66S pre-ribosomal particles; interacts with proteins involved in ribosomal biogenesis and cell polarity; member of the SURF-6 family
1115115at2759	YJR134C	SGM1	 chromosome 10  10 675852 673729 C  2011-02-03 1996-07-31 Protein of unknown function; required for wild-type growth rate on galactose and mannose; localizes to COPI coated vesicles and the Golgi apparatus
1115170at2759	YDR356W	SPC110	NUF1|XCM1 chromosome 4 L000001285 4 1186107 1188941 W  2011-02-03 1996-07-31 Inner plaque spindle pole body (SPB) component; ortholog of human kendrin; gamma-tubulin small complex (gamma-TuSC) receptor that interacts with Spc98p to recruit the complex to the nuclear side of the SPB, connecting nuclear microtubules to the SPB; promotes gamma-TuSC assembly and oligomerization to initiate microtubule nucleation; interacts with Tub4p-complex and calmodulin; phosphorylated by Mps1p in cell cycle-dependent manner
1115196at2759	YPR047W	MSF1	phenylalanine--tRNA ligase chromosome 16 L000001187 16 657529 658938 W  2011-02-03 2003-09-22|1996-07-31 Mitochondrial phenylalanyl-tRNA synthetase; active as a monomer, unlike the cytoplasmic subunit which is active as a dimer complexed to a beta subunit dimer; similar to the alpha subunit of E. coli phenylalanyl-tRNA synthetase
1115569at2759	YIL093C	RSM25	mitochondrial 37S ribosomal protein RSM25 chromosome 9  9 188784 187990 C  2011-02-03 1994-12-10 Mitochondrial ribosomal protein of the small subunit
1116351at2759	YDR452W	PPN1	endopolyphosphatase|PHM5 chromosome 4 S000007514 4 1362878 1364902 W  2011-02-03 1996-07-31 Dual endo- and exopolyphosphatase with a role in phosphate metabolism; acts as both an endopolyphosphatase cleaving long chains of polyphosphate distributively to generate shorter polymer chains and as an exopolyphosphatase catalyzing the hydrolysis of terminal phosphate from polyphosphate; localizes to the vacuole, nucleus and cytosol; functions as a homodimer; relocalizes from vacuole to cytoplasm upon DNA replication stress
1116856at2759	YDR054C	CDC34	SCF E2 ubiquitin-protein ligase catalytic subunit CDC34|UBC3|DNA chromosome 4 L000000271 4 562327 561440 C 37.0 2011-02-03 1996-07-31 Ubiquitin-conjugating enzyme (E2); catalytic subunit of SCF ubiquitin-protein ligase complex (together with Skp1p, Rbx1p, Cdc53p, and an F-box protein) that regulates cell cycle progression by targeting key substrates for degradation; protein abundance increases in response to DNA replication stress; human CDC34 functionally complements the thermosensitivity of the cdc34-2 mutant
1117244at2759	YDR372C	VPS74	MNN3|API1 chromosome 4  4 1222149 1221112 C  2011-02-03 1996-07-31 Golgi phosphatidylinositol-4-kinase effector and PtdIns4P sensor; interacts with the cytosolic domains of cis and medial glycosyltransferases, and in the PtdIns4P-bound state mediates the targeting of these enzymes to the Golgi; interacts with the catalytic domain of Sac1p, the major cellular PtdIns4P phosphatase, to direct dephosphosphorylation of the Golgi pool of PtdIns4P; tetramerization required for function; ortholog of human GOLPH3/GPP34/GMx33
1119646at2759	YOR019W		 chromosome 15  15 368127 370319 W  2006-01-05 1996-07-31 Protein of unknown function; may interact with ribosomes, based on co-purification experiments; YOR019W has a paralog, JIP4, that arose from the whole genome duplication
1119705at2759	YOR150W	MRPL23	mitochondrial 54S ribosomal protein YmL23|YmL23 chromosome 15  15 611999 612490 W  2011-02-03 1996-07-31 Mitochondrial ribosomal protein of the large subunit; localizes to vacuole in response to H2O2
1119971at2759	YMR130W		 chromosome 13  13 532119 533027 W  2011-02-03 1996-07-31 Putative protein of unknown function; YMR130W is not an essential gene
1120393at2759	YDR361C	BCP1	protein-transporting protein BCP1 chromosome 4  4 1196263 1195412 C  2011-02-03 1996-07-31 Essential protein involved in nuclear export of Mss4p; Mss4p is a lipid kinase that generates phosphatidylinositol 4,5-biphosphate and plays a role in actin cytoskeleton organization and vesicular transport
1120431at2759	YKR009C	FOX2	bifunctional hydroxyacyl-CoA dehydrogenase/enoyl-CoA hydratase F chromosome 11 L000000622 11 457054 454352 C  2011-02-03 1996-07-31 3-hydroxyacyl-CoA dehydrogenase and enoyl-CoA hydratase; multifunctional enzyme of the peroxisomal fatty acid beta-oxidation pathway; mutation is functionally complemented by human HSD17B4
1120921at2759	YNL152W	INN1	 chromosome 14  14 346313 347542 W  2011-02-03 1996-07-31 Essential protein that associates with contractile actomyosin ring; required for ingression of the plasma membrane into the bud neck during cytokinesis; C2 domain, a membrane targeting module, is required for function; activates chitin synthase activity of Chs2p during cytokinesis
1121007at2759	YDR370C	DXO1	 chromosome 4  4 1219110 1217782 C  2011-02-03 1996-07-31 mRNA 5'-end-capping quality-control protein; has distributive, 5'-3' exoRNase activity; similar to Rai1p;
1121393at2759	YGL066W	SGF73	deubiquitination module subunit SGF73|SCA7 chromosome 7  7 377609 379582 W  2011-02-03 1996-07-31 Subunit of DUBm module of SAGA and SLIK; has roles in anchoring deubiquitination module (DUBm) into SAGA and SLIK complexes, maintaining organization and ubiquitin-binding conformation of Ubp8p, thereby contributing to overall DUBm activity; involved in preinitiation complex assembly at promoters; relocalizes to cytosol under hypoxia; human homolog ATXN7 implicated in spinocerebellar ataxia, and can complement yeast null mutant
1121487at2759	YDL204W	RTN2	 chromosome 4  4 94605 95786 W  2011-02-03 1996-07-31 Reticulon protein; involved in nuclear pore assembly and maintenance of tubular ER morphology; promotes membrane curvature; regulates the ER asymmetry-induced inheritance block during ER stress; role in ER-derived peroxisomal biogenesis; interacts with Sec6p, Yip3p, and Sbh1p; less abundant than RTN1; member of RTNLA (reticulon-like A) subfamily; protein increases in abundance and relocalizes to plasma membrane upon DNA replication stress
1121541at2759	YDL073W	AHK1	 chromosome 4  4 326613 329567 W  2004-02-11 1996-07-31 Scaffold protein in the HKR1 sub-branch of the Hog1p-signaling pathway; physically interacts with the cytoplasmic domain of Hkr1p, and with Sho1p, Pbs2p, and Ste11p; prevents cross-talk signaling from Hkr1p of the osmotic stress MAPK cascade to the Kss1p MAPK cascade; non-essential gene
1121868at2759	YHR069C	RRP4	exosome non-catalytic core subunit RRP4 chromosome 8 L000003549 8 234658 233579 C  2011-02-03 1996-07-31 Exosome non-catalytic core component; involved in 3'-5' RNA processing and degradation in both the nucleus and the cytoplasm; predicted to contain RNA binding domains; has similarity to human hRrp4p (EXOSC2)
1121890at2759	YBR185C	MBA1	 chromosome 2 L000002809 2 599959 599123 C  2011-02-03 1997-01-28 Membrane-associated mitochondrial ribosome receptor; forms a complex with Mdm38p that may facilitate recruitment of mRNA-specific translational activators to ribosomes; possible role in protein export from the matrix to inner membrane
1122174at2759	YLR220W	CCC1	 chromosome 12 L000000234 12 576825 577793 W  2011-02-03 1996-07-31 Vacuolar Fe2+/Mn2+ transporter; suppresses respiratory deficit of yfh1 mutants, which lack the ortholog of mammalian frataxin, by preventing mitochondrial iron accumulation; relative distribution to the vacuole decreases upon DNA replication stress
1122917at2759	YOL137W	BSC6	 chromosome 15  15 65621 67114 W  2006-01-05 1996-07-31 Protein of unknown function with 8 putative transmembrane segments; ORF exhibits genomic organization compatible with a translational readthrough-dependent mode of expression
1123995at2759	YNL053W	MSG5	tyrosine/serine/threonine protein phosphatase MSG5 chromosome 14 L000001188 14 529942 531411 W  2011-02-03 1997-01-28 Dual-specificity protein phosphatase; exists in 2 isoforms; required for maintenance of a low level of signaling through the cell integrity pathway, adaptive response to pheromone; regulates and is regulated by Slt2p; dephosphorylates Fus3p; MSG5 has a paralog, SDP1, that arose from the whole genome duplication
1124591at2759	YAL035W	FUN12	translation initiation factor eIF5B|eIF5B|yIF2 chromosome 1 L000000635 1 76427 79435 W  2011-02-03 1996-07-31 Translation initiation factor eIF5B; GTPase that promotes Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; promotes GTP-dependent maturation of 18S rRNA by Nob1p; protein abundance increases in response to DNA replication stress; homolog of bacterial IF2
1125002at2759	YML110C	COQ5	2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase|DBI56 chromosome 13 L000003398 13 50954 50031 C  1996-07-31 1996-07-31 2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase; involved in ubiquinone (Coenzyme Q) biosynthesis; localizes to the matrix face of the mitochondrial inner membrane in a large complex with other ubiquinone biosynthetic enzymes; respiratory defect of the null mutant is partially complemented by human COQ5
1125051at2759	YIL020C	HIS6	1-(5-phosphoribosyl)-5- ((5-phosphoribosylamino)methylideneamino chromosome 9 L000000783 9 314820 314035 C -17.0 2011-02-03 1994-12-10 Enzyme that catalyzes the fourth step in the histidine pathway; Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase; mutations cause histidine auxotrophy and sensitivity to Cu, Co, and Ni salts
1125788at2759	YOR311C	DGK1	diacylglycerol kinase|HSD1 chromosome 15  15 899928 899056 C  2011-02-03 1996-07-31 Diacylglycerol kinase; localized to the endoplasmic reticulum (ER); overproduction induces enlargement of ER-like membrane structures and suppresses a temperature-sensitive sly1 mutation; contains a CTP transferase domain
1125966at2759	Q0105	COB	cytochrome b|CYTB|COB1 chromosome 17 L000004934|L0000 17 36540 43647 W  2000-05-19 2000-05-19 Cytochrome b; mitochondrially encoded subunit of the ubiquinol-cytochrome c reductase complex which includes Cobp, Rip1p, Cyt1p, Cor1p, Qcr2p, Qcr6p, Qcr7p, Qcr8p, Qcr9p, and Qcr10p
1126579at2759	YDR488C	PAC11	dynein intermediate chain chromosome 4 L000001330 4 1430789 1429188 C  2011-02-03 1996-07-31 Dynein intermediate chain, microtubule motor protein; required for intracellular transport and cell division; acts in cytoplasmic dynein pathway; forms complex with dynein light chain Dyn2p that promotes Dyn1p homodimerization and potentiates motor processivity; Dyn2p-Pac11p complex is also important for interaction of dynein motor complex with dynactin complex; forms cortical cytoplasmic microtubule capture site with Num1p; essential in the absence of CIN8
1126848at2759	YPR128C	ANT1	 chromosome 16  16 792204 791218 C  2011-02-03 1996-07-31 Peroxisomal adenine nucleotide transporter; involved in beta-oxidation of medium-chain fatty acid; required for peroxisome proliferation
1127273at2759	YDR061W		 chromosome 4  4 574164 575783 W  2011-02-03 1996-07-31 Protein with similarity to ABC transporter family members; lacks predicted membrane-spanning regions; transcriptionally activated by Yrm1p along with genes involved in multidrug resistance
1127668at2759	YDR477W	SNF1	AMP-activated serine/threonine-protein kinase catalytic subunit  chromosome 4 L000001944 4 1412373 1414274 W 304.0 2011-02-03 1996-07-31 AMP-activated S/T protein kinase; forms a complex with Snf4p and members of the Sip1p/Sip2p/Gal83p family; required for transcription of glucose-repressed genes, thermotolerance, sporulation, and peroxisome biogenesis; regulates nucleocytoplasmic shuttling of Hxk2p; regulates filamentous growth and acts as a non-canonical GEF, activating Arf3p during invasive growth; SUMOylation by Mms21p inhibits its function and targets Snf1p for destruction via the Slx5-Slx8 Ub ligase
1127669at2759	YGL176C		 chromosome 7  7 173079 171415 C  2011-02-03 1996-07-31 Putative protein of unknown function; deletion mutant is viable and has no detectable phenotype
1127941at2759	YFL034C-B	MOB2	YFL035C-A|YFL035C chromosome 6 L000003535|S0000 6 63993 63016 C  2011-02-03 1996-07-31 Activator of Cbk1p kinase; component of the RAM signaling network that regulates cellular polarity and morphogenesis; activation of Cbk1p facilitates the Ace2p-dependent daughter cell-specific transcription of genes involved in cell separation; similar to Mob1p
1128973at2759	YNL022C	RCM1	rRNA (cytosine-C5-)-methyltransferase RCM1 chromosome 14  14 592899 591427 C  2011-02-03 1997-01-28 rRNA m5C methyltransferase; methylates cytosine at position 2278 of 25S rRNA while Nop2p methylates cytosine at position 2870; contains seven beta-strand methyltransferase motif; localized to the nucleolus; interacts with Trm112p; homolog of NSUN5A, a human gene which is deleted in Williams-Beuren Syndrome
1129049at2759	YIL160C	POT1	acetyl-CoA C-acyltransferase|POX3|FOX3 chromosome 9 L000001466 9 41444 40191 C  1994-12-10 1994-12-10 3-ketoacyl-CoA thiolase with broad chain length specificity; cleaves 3-ketoacyl-CoA into acyl-CoA and acetyl-CoA during beta-oxidation of fatty acids
1129256at2759	YBL064C	PRX1	thioredoxin peroxidase PRX1 chromosome 2  2 101156 100371 C  2011-02-03 1997-01-28 Mitochondrial peroxiredoxin with thioredoxin peroxidase activity; has a role in reduction of hydroperoxides; reactivation requires Trr2p and glutathione; induced during respiratory growth and oxidative stress; phosphorylated; protein abundance increases in response to DNA replication stress
1129417at2759	YGR095C	RRP46	exosome non-catalytic core subunit RRP46 chromosome 7 L000004579 7 676342 675671 C  2011-02-03 2003-09-22|1996-07-31 Exosome non-catalytic core component; involved in 3'-5' RNA processing and degradation in both the nucleus and the cytoplasm; has similarity to E. coli RNase PH and to human hRrp46p (EXOSC5)
1129610at2759	YGR214W	RPS0A	uS2|ribosomal 40S subunit protein S0A|S2|S0A|YST1|NAB1A|NAB1 chromosome 7 L000001226|L0000 7 920575 921788 W  2011-02-03 1996-07-31 Ribosomal 40S subunit protein S0A; required for maturation of 18S rRNA along with Rps0Bp; deletion of either RPS0 gene reduces growth rate, deletion of both genes is lethal; homologous to human ribosomal protein SA and bacterial S2; RPS0A has a paralog, RPS0B, that arose from the whole genome duplication;
1129824at2759	YGL018C	JAC1	J-type chaperone JAC1 chromosome 7 L000003591 7 459664 459110 C  2011-02-03 1996-07-31 Specialized J-protein that functions in Fe-S cluster biogenesis; functions with Hsp70 in Fe-S cluster biogenesis in mitochondria; involved in iron metabolism; contains a J domain typical to J-type chaperones; localizes to the mitochondrial matrix
1129961at2759	YNL288W	CAF40	CCR4-NOT core subunit CAF40 chromosome 14  14 90303 91424 W  2005-11-07 1996-07-31 Component of the CCR4-NOT transcriptional complex; evolutionarily conserved; involved in controlling mRNA initiation, elongation, and degradation; binds Cdc39p
1130151at2759	YDR330W	UBX5	 chromosome 4  4 1127872 1129374 W  2011-02-03 1996-07-31 UBX domain-containing protein that interacts with Cdc48p; ubiquitin regulatory X is also known as UBX
1130269at2759	YPL011C	TAF3	TafII47|TAF47 chromosome 16 L000004154 16 534703 533642 C  2011-02-03 1996-07-31 TFIID subunit (47 kDa); involved in promoter binding and RNA polymerase II transcription initiation
1130314at2759	YHR034C	PIH1	NOP17 chromosome 8  8 177999 176965 C  2011-02-03 1996-07-31 Component of the conserved R2TP complex (Rvb1-Rvb2-Tah1-Pih1); R2TP complex interacts with Hsp90 (Hsp82p and Hsc82p) to mediate assembly large protein complexes such as box C/D snoRNPs and RNA polymerase II
1130893at2759	YLL063C	AYT1	acetyltransferase chromosome 12 L000004544 12 16072 14648 C  1996-07-31 1996-07-31 Acetyltransferase; catalyzes trichothecene 3-O-acetylation, suggesting a possible role in trichothecene biosynthesis
1131452at2759	YNR001C	CIT1	citrate (Si)-synthase CIT1|LYS6|CS1 chromosome 14 L000000341 14 631061 629622 C  2011-02-03 1997-01-28 Citrate synthase; catalyzes the condensation of acetyl coenzyme A and oxaloacetate to form citrate; the rate-limiting enzyme of the TCA cycle; nuclear encoded mitochondrial protein; CIT1 has a paralog, CIT2, that arose from the whole genome duplication
113181at2759	YER052C	HOM3	aspartate kinase|THR3|SIL4|BOR1 chromosome 5 L000000800 5 257958 256375 C 48.0 2011-02-03 1996-07-31 Aspartate kinase (L-aspartate 4-P-transferase); cytoplasmic enzyme that catalyzes the first step in the common pathway for methionine and threonine biosynthesis; expression regulated by Gcn4p and the general control of amino acid synthesis
1132245at2759	YBR028C	YPK3	putative protein kinase YPK3 chromosome 2  2 296002 294425 C  2004-07-16 1997-01-28 AGC kinase; phosphorylated by cAMP-dependent protein kinase (PKA) in a TORC1-dependent manner; directly phosphorylated by TORC1; phosphorylates ribosomal protein Rps6a/b (S6), in a TORC-dependent manner; undergoes autophosphorylation
1132247at2759	YMR108W	ILV2	acetolactate synthase catalytic subunit|THI1|SMR1 chromosome 13 L000002296|L0000 13 484084 486147 W 66.0 2011-02-03 1996-07-31 Acetolactate synthase; catalyses the first common step in isoleucine and valine biosynthesis and is the target of several classes of inhibitors, localizes to the mitochondria; expression of the gene is under general amino acid control
1132270at2759	YKR023W		 chromosome 11  11 483419 485011 W  2011-02-03 1996-07-31 Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
1132331at2759	YDR350C	ATP22	TCM10 chromosome 4 L000002912 4 1178174 1176120 C  2011-02-03 1996-07-31|2011-02-03 Specific translational activator for the mitochondrial ATP6 mRNA; Atp6p encodes a subunit of F1F0 ATP synthase; localized to the mitochondrial inner membrane
1132953at2759	YKL027W	TCD2	tRNA threonylcarbamoyladenosine dehydratase chromosome 11  11 387562 388905 W  2011-02-03 1996-07-31 tRNA threonylcarbamoyladenosine dehydratase; required for the ct6A tRNA base modification, where an adenosine at position 37 is modified to form a cyclized active ester with an oxazolone ring; localized to the mitochondrial outer membrane; TCD2 has a paralog, TCD1, that arose from the whole genome duplication
1132954at2759	YLR308W	CDA2	chitin deacetylase CDA2 chromosome 12 L000003113 12 747937 748875 W  2011-02-03 1996-07-31 Chitin deacetylase; together with Cda1p involved in the biosynthesis ascospore wall component, chitosan; required for proper rigidity of the ascospore wall
1133487at2759	YMR079W	SEC14	phosphatidylinositol/phosphatidylcholine transfer protein SEC14| chromosome 13 L000001839 13 424989 426059 W  2011-02-03 1996-07-31 Phosphatidylinositol/phosphatidylcholine transfer protein; involved in regulating PtdIns, PtdCho, and ceramide metabolism, products of which regulate intracellular transport and UPR; has a role in localization of lipid raft proteins; functionally homologous to mammalian PITPs; SEC14 has a paralog, YKL091C, that arose from the whole genome duplication
